conflict_id,year,decennie,periode_historique,location,pays_principal,region,region_label,gwno_loc,side_a,side_b,side_a_2nd,side_b_2nd,type_of_conflict,type_conflit_label,incompatibility,objet_conflit,territory_name,intensity_level,intensite_label,cumulative_intensity,intensite_cumulee_label,start_date,start_date_clean,ep_end_date,ep_end_date_clean,ep_end,duree_annees,annee_debut,annee_fin,nb_annees,intensite_max,conflit_actif,est_ukraine_russie
209,2024,2020,2020-2024: Conflits contemporains,Philippines,Philippines,3,Asie,840,Government of Philippines,CPP,,,3,Interne,2,Gouvernement,,1,Mineur (25-999 morts),1,A connu la guerre,1946-07-31,1946-07-31,,,0,63,1946,2024,63,2,True,0
221,2024,2020,2020-2024: Conflits contemporains,Myanmar (Burma),Myanmar (Burma),3,Asie,775,Government of Myanmar (Burma),KNU,,,3,Interne,1,Territoire,Karen,1,Mineur (25-999 morts),1,A connu la guerre,1948-12-31,1948-12-31,,,0,65,1949,2024,65,2,True,0
222,2024,2020,2020-2024: Conflits contemporains,Myanmar (Burma),Myanmar (Burma),3,Asie,775,Government of Myanmar (Burma),"NUG, PNLO, PSLF",,,3,Interne,2,Gouvernement,,2,Guerre (1000+ morts),1,A connu la guerre,1948-02-29,1948-02-29,,,0,55,1948,2024,55,2,True,0
223,2024,2020,2020-2024: Conflits contemporains,Myanmar (Burma),Myanmar (Burma),3,Asie,775,Government of Myanmar (Burma),ULA,,,3,Interne,1,Territoire,Arakan,1,Mineur (25-999 morts),1,A connu la guerre,1948-01-31,1948-01-31,,,0,39,1948,2024,39,1,True,0
227,2024,2020,2020-2024: Conflits contemporains,India,India,3,Asie,750,Government of India,CPI-Maoist,,,3,Interne,2,Gouvernement,,1,Mineur (25-999 morts),1,A connu la guerre,1948-05-01,1948-05-01,,,0,40,1948,2024,40,2,True,0
230,2024,2020,2020-2024: Conflits contemporains,Yemen (North Yemen),Yemen (North Yemen),2,Moyen-Orient,678,Government of Yemen (North Yemen),Forces of the Presidential Leadership Council,,"Government of Bahrain, Government of Saudi Arabia, Government of United Arab Emirates",4,Internationalisé,2,Gouvernement,,1,Mineur (25-999 morts),1,A connu la guerre,1948-03-15,1948-03-15,,,0,30,1948,2024,30,2,True,0
231,2024,2020,2020-2024: Conflits contemporains,Myanmar (Burma),Myanmar (Burma),3,Asie,775,Government of Myanmar (Burma),KIO,,,3,Interne,1,Territoire,Kachin,1,Mineur (25-999 morts),1,A connu la guerre,1949-12-31,1949-12-31,,,0,47,1949,2024,47,2,True,0
234,2024,2020,2020-2024: Conflits contemporains,Israel,Israel,2,Moyen-Orient,666,Government of Israel,"Fatah, Hamas, PIJ",, Government of Yemen (North Yemen),4,Internationalisé,1,Territoire,Palestine,2,Guerre (1000+ morts),1,A connu la guerre,1948-05-15,1948-05-15,,,0,68,1949,2024,68,2,True,0
253,2024,2020,2020-2024: Conflits contemporains,Myanmar (Burma),Myanmar (Burma),3,Asie,775,Government of Myanmar (Burma),KNPP,,,3,Interne,1,Territoire,Karenni,1,Mineur (25-999 morts),1,A connu la guerre,1957-12-31,1957-12-31,,,0,9,1957,2024,9,1,True,0
259,2024,2020,2020-2024: Conflits contemporains,Iraq,Iraq,2,Moyen-Orient,645,Government of Iraq,IS,"Government of France, Government of Netherlands, Government of United Kingdom, Government of United States of America",,4,Internationalisé,2,Gouvernement,,1,Mineur (25-999 morts),1,A connu la guerre,1958-07-14,1958-07-14,,,0,34,1958,2024,34,2,True,0
283,2024,2020,2020-2024: Conflits contemporains,DR Congo (Zaire),DR Congo (Zaire),4,Afrique,490,Government of DR Congo (Zaire),AFC,"Government of Burundi, Government of Malawi, Government of South Africa, Government of Tanzania",Government of Rwanda,4,Internationalisé,2,Gouvernement,,1,Mineur (25-999 morts),1,A connu la guerre,1964-01-03,1964-01-03,,,0,28,1964,2024,28,2,True,0
287,2024,2020,2020-2024: Conflits contemporains,Burundi,Burundi,4,Afrique,516,Government of Burundi,RED-TABARA ,Government of DR Congo (Zaire),,4,Internationalisé,2,Gouvernement,,1,Mineur (25-999 morts),1,A connu la guerre,1965-10-18,1965-10-18,,,0,25,1965,2024,25,2,True,0
289,2024,2020,2020-2024: Conflits contemporains,Colombia,Colombia,5,Amériques,100,Government of Colombia,"ELN, FARC - Segunda Marquetalia , FARC-EMC",,,3,Interne,2,Gouvernement,,1,Mineur (25-999 morts),1,A connu la guerre,1964-12-31,1964-12-31,,,0,60,1964,2024,60,2,True,0
